UDI,Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,TWF,HDF,PWF,OSF,RNF,Air temperature [K]_Rolling_Mean,Air temperature [K]_Volatility,Air temperature [K]_Delta,Process temperature [K]_Rolling_Mean,Process temperature [K]_Volatility,Process temperature [K]_Delta,Rotational speed [rpm]_Rolling_Mean,Rotational speed [rpm]_Volatility,Rotational speed [rpm]_Delta,Torque [Nm]_Rolling_Mean,Torque [Nm]_Volatility,Torque [Nm]_Delta,Tool wear [min]_Rolling_Mean,Tool wear [min]_Volatility,Tool wear [min]_Delta,Air temperature [K]_Rolling_Delta,Process temperature [K]_Rolling_Delta,Rotational speed [rpm]_Rolling_Delta,Torque [Nm]_Rolling_Delta,Tool wear [min]_Rolling_Delta
4238,L51417,L,302.2,311.0,1832,23.2,70,0,0,0,0,0,0,302.2,0.0,0.0,310.9,0.07071067816047343,0.10000000000002274,1539.6,197.94645740704507,228.0,38.88,10.892061329243479,-17.3,64.6,4.979959839195088,2.0,0.0,0.02000000000000455,76.0,-3.820000000000001,2.8
4239,M19098,M,302.3,311.0,1521,34.8,72,0,0,0,0,0,0,302.21999999999997,0.04472135976709635,0.10000000000002274,310.91999999999996,0.08366600268903818,0.0,1583.4,150.85688582228892,-311.0,35.160000000000004,7.265879162221232,11.599999999999998,67.4,4.219004621945319,2.0,0.02000000000000455,0.02000000000000455,43.8,-3.7200000000000015,2.8
4240,L51419,L,302.3,311.0,1446,37.6,75,0,0,0,0,0,0,302.24,0.054772255929099345,0.0,310.94,0.08944271913358648,0.0,1568.2,162.00678998115825,-75.0,35.5,7.348469228349587,2.8000000000000043,70.2,3.492849839314016,3.0,0.02000000000000455,0.02000000000000455,-15.2,0.33999999999999914,2.8
4241,L51420,L,302.4,311.1,1905,20.9,77,0,0,0,0,0,0,302.28000000000003,0.08366600277204803,0.0999999999999659,311.0,0.07071067816219877,0.10000000000002274,1661.6,198.65120185893446,459.0,31.4,8.80766711450882,-16.700000000000003,72.4,3.6469165057615367,2.0,0.039999999999997725,0.060000000000002274,93.4,-4.100000000000001,2.2
4242,L51421,L,302.4,311.0,1475,47.9,79,0,0,0,0,0,0,302.32,0.0836660027737992,0.0,311.02,0.04472135961937147,-0.10000000000002274,1635.8,215.65180268200663,-430.0,32.88,11.054275191074284,27.0,74.6,3.6469165057615367,2.0,0.039999999999997725,0.02000000000000455,-25.8,1.4799999999999982,2.2
4243,L51422,L,302.4,311.0,1462,48.5,81,0,0,0,0,0,0,302.36,0.05477225593712424,0.0,311.02,0.04472135961937147,0.0,1561.8,193.8780544569166,-13.0,37.940000000000005,11.30322962696951,0.6000000000000014,76.8,3.492849839314016,2.0,0.039999999999997725,0.0,-74.0,5.059999999999999,2.2
4244,M19103,M,302.4,310.9,1435,42.3,83,0,0,0,0,0,0,302.38,0.04472135978022238,0.0,311.0,0.07071067816219877,-0.10000000000002274,1544.6,202.04529195207473,-27.0,39.44,11.279982269489679,-6.200000000000003,79.0,3.1622776601677396,2.0,0.01999999999999318,-0.02000000000000455,-17.2,1.4999999999999987,2.2
4245,L51424,L,302.4,310.9,1469,39.6,86,0,0,0,0,0,0,302.4,0.0,0.0,310.97999999999996,0.08366600268993075,0.0,1549.2,199.4848365164609,34.0,39.839999999999996,11.233788319173618,-2.6999999999999957,81.2,3.492849839314016,3.0,0.01999999999999318,-0.02000000000000455,4.6,0.3999999999999986,2.2
4246,M19105,M,302.6,311.1,1520,43.0,88,0,0,0,0,0,0,302.43999999999994,0.08944271921764954,0.20000000000004547,310.98,0.08366600268993075,0.20000000000004547,1472.2,30.784736477662534,51.0,44.260000000000005,3.8200785332244744,3.3999999999999986,83.4,3.6469165057615367,2.0,0.0400000000000091,0.0,-77.0,4.419999999999999,2.2
4247,L51426,L,302.6,311.0,1537,35.5,91,0,0,0,0,0,0,302.48,0.10954451159847681,0.0,310.98,0.08366600268993075,-0.10000000000002274,1484.6,42.46527993548527,17.0,41.779999999999994,4.772525536862214,-7.5,85.8,3.9623225512312765,3.0,0.0400000000000091,0.0,12.4,-2.4800000000000013,2.4
4248,L51427,L,302.6,311.0,1369,60.0,93,1,0,1,0,0,0,302.52,0.10954451159984284,0.0,310.98,0.08366600268993075,0.0,1466.0,67.70524351923659,-168.0,44.08,9.373739915316747,24.5,88.2,3.9623225512312765,2.0,0.0400000000000091,0.0,-18.6,2.2999999999999985,2.4
4249,L51428,L,302.6,311.0,1506,37.2,95,0,0,0,0,0,0,302.56000000000006,0.08944271922265593,0.0,311.0,0.07071067816219877,0.0,1480.2,67.02014622484144,137.0,43.06,9.879676108051429,-22.799999999999997,90.6,3.6469165057615367,2.0,0.0400000000000091,0.02000000000000455,14.2,-1.0200000000000002,2.4
4250,L51429,L,302.5,310.9,1330,56.9,97,1,0,1,0,0,0,302.58000000000004,0.04472135979695905,-0.10000000000002274,311.0,0.07071067816219877,-0.10000000000002274,1452.4,95.57353190083086,-176.0,46.519999999999996,11.293228059328428,19.699999999999996,92.8,3.492849839314016,2.0,0.02000000000000455,0.0,-27.8,3.459999999999998,2.2
4251,L51430,L,302.6,311.0,1660,38.0,99,0,0,0,0,0,0,302.58000000000004,0.04472135979695905,0.10000000000002274,310.97999999999996,0.044721359618288686,0.10000000000002274,1480.4,133.3652878375746,330.0,45.52,11.888523878093645,-18.9,95.0,3.1622776601677396,2.0,0.0,-0.02000000000000455,28.0,-1.0000000000000013,2.2
4252,H33665,H,302.5,310.9,1356,55.5,101,1,0,1,0,0,0,302.56,0.05477225595083053,-0.10000000000002274,310.96,0.05477225580583412,-0.10000000000002274,1444.2,138.6225089947485,-304.0,49.52,11.006225511046171,17.5,97.0,3.1622776601677396,2.0,-0.02000000000000455,-0.02000000000000455,-36.2,3.9999999999999987,2.0
4253,H33666,H,302.6,311.0,1438,51.0,106,0,0,0,0,0,0,302.56000000000006,0.05477225595083054,0.10000000000002274,310.96,0.05477225580583412,0.10000000000002274,1458.0,132.56696421054204,82.0,47.720000000000006,9.49615711748722,-4.5,99.6,4.219004621945319,5.0,0.0,0.0,13.8,-1.8000000000000014,2.6
4254,M19113,M,302.6,311.0,1329,48.6,111,1,0,1,0,0,0,302.56,0.05477225595083054,0.0,310.96,0.05477225580583412,0.0,1422.6,139.97071122202362,-109.0,50.0,7.496999399760125,-2.3999999999999986,102.8,5.674504383644089,5.0,0.0,0.0,-35.4,2.2799999999999985,3.2
4255,L51434,L,302.6,311.0,1284,68.0,114,1,0,1,1,0,0,302.58000000000004,0.044721359796942375,0.0,310.98,0.044721359618288686,0.0,1413.4,148.81128989427899,-45.0,52.220000000000006,10.915218733493345,19.4,106.2,6.379655163094317,3.0,0.02000000000000455,0.02000000000000455,-9.2,2.219999999999999,3.4
4256,M19115,M,302.5,311.0,1387,52.1,116,0,0,0,0,0,0,302.56000000000006,0.05477225595083054,-0.10000000000002274,310.98,0.044721359618288686,0.0,1358.8,58.22113018483191,103.0,55.04,7.658524662100696,-15.899999999999999,109.6,6.10737259384066,2.0,-0.02000000000000455,0.0,-54.6,2.819999999999999,3.4
4257,M19116,M,302.6,311.0,1591,33.9,119,0,0,0,0,0,0,302.58000000000004,0.044721359796942375,0.10000000000002274,311.0,0.0,0.0,1405.8,118.76741977494984,204.0,50.72,12.124231934436253,-18.200000000000003,113.2,4.969909455915269,3.0,0.02000000000000455,0.02000000000000455,47.0,-4.320000000000002,3.6
4258,M19117,M,302.6,311.0,1589,39.0,122,0,0,0,0,0,0,302.58000000000004,0.044721359796942375,0.0,311.0,0.0,0.0,1436.0,145.2480636703951,-2.0,48.32,13.19534008656099,5.100000000000001,116.4,4.277849927241018,3.0,0.0,0.0,30.2,-2.4000000000000012,3.2
4259,M19118,M,302.7,311.1,1297,60.7,125,1,0,1,0,0,0,302.6,0.07071067827584847,0.0999999999999659,311.02,0.04472135961940404,0.10000000000002274,1429.6,151.70299931115122,-292.0,50.739999999999995,14.321068395898536,21.700000000000003,119.2,4.438468204233976,3.0,0.01999999999999318,0.02000000000000455,-6.4,2.419999999999999,2.8
4260,L51439,L,302.7,311.2,1545,35.1,128,0,0,0,0,0,0,302.62,0.08366600278712198,0.0,311.06,0.08944271913523288,0.0999999999999659,1481.8,132.80512038321095,248.0,44.160000000000004,11.732348443513029,-25.6,122.0,4.7434164902521445,3.0,0.01999999999999318,0.039999999999997725,52.2,-6.580000000000001,2.8
4261,H33674,H,302.7,311.1,1418,43.4,130,0,0,0,0,0,0,302.65999999999997,0.05477225595740119,0.0,311.08000000000004,0.08366600269137237,-0.0999999999999659,1488.0,127.90621564255254,-127.0,42.42,10.874143644444018,8.299999999999997,124.8,4.438468204233976,2.0,0.039999999999997725,0.02000000000000455,6.2,-1.740000000000002,2.8
4262,L51441,L,302.7,311.1,1730,28.1,135,0,0,0,0,0,0,302.68,0.044721359804982604,0.0,311.1,0.07071067816392261,0.0,1515.8,165.4771887602613,312.0,41.260000000000005,12.234500398463437,-15.299999999999997,128.0,4.949747468305427,5.0,0.01999999999999318,0.02000000000000455,27.8,-1.1600000000000008,3.2
4263,L51442,L,302.6,311.0,2001,20.7,137,0,0,0,0,0,0,302.67999999999995,0.044721359804982604,-0.0999999999999659,311.1,0.07071067816392261,-0.10000000000002274,1598.2,276.4248541647425,271.0,37.6,15.4058430473636,-7.400000000000002,131.0,4.949747468305427,2.0,0.0,0.0,82.4,-3.6600000000000015,3.0
4264,L51443,L,302.6,311.0,1620,36.2,139,0,0,0,0,0,0,302.65999999999997,0.05477225595740119,0.0,311.08000000000004,0.08366600269137237,0.0,1662.8,220.52822948547686,-381.0,32.7,8.626412927746996,15.500000000000004,133.8,4.6583258795404126,2.0,-0.01999999999999318,-0.02000000000000455,64.6,-4.900000000000002,2.8
4265,M19124,M,302.6,311.0,1542,39.7,141,0,0,0,0,0,0,302.64,0.054772255956087056,0.0,311.04,0.05477225580761266,0.0,1662.2,220.9325688982934,-78.0,33.620000000000005,9.174257463141126,3.5,136.4,4.219004621945316,2.0,-0.01999999999999318,-0.039999999999997725,-0.6,0.9199999999999988,2.6
4266,L51445,L,302.6,311.0,1424,38.0,144,0,0,0,0,0,0,302.62,0.044721359800170855,0.0,311.02,0.044721359619347624,0.0,1663.4,219.28474639153347,-118.0,32.54,7.974521929244441,-1.7000000000000028,139.2,3.492849839314015,3.0,-0.01999999999999318,-0.02000000000000455,1.2,-1.0800000000000012,2.8
4267,L51446,L,302.7,311.1,1440,39.5,146,0,0,0,0,0,0,302.62,0.044721359800170855,0.0999999999999659,311.02,0.044721359619347624,0.10000000000002274,1605.4,235.05063284322202,16.0,34.82000000000001,8.017293807763368,1.5,141.4,3.646916505761538,2.0,0.0,0.0,-58.0,2.2799999999999985,2.2
4268,L51447,L,302.6,311.0,1520,42.8,148,0,0,0,0,0,0,302.62,0.044721359800170855,-0.0999999999999659,311.02,0.044721359619347624,-0.10000000000002274,1509.2,79.86989420300479,80.0,39.239999999999995,2.4357750306630357,3.299999999999997,143.6,3.646916505761538,2.0,0.0,0.0,-96.2,4.419999999999998,2.2
4269,L51448,L,302.7,311.0,1694,29.8,150,0,0,0,0,0,0,302.64,0.054772255956066954,0.0999999999999659,311.02,0.044721359619347624,0.0,1524.0,107.58252646224284,174.0,37.96,4.883953316730342,-12.999999999999996,145.8,3.492849839314015,2.0,0.01999999999999318,0.0,14.8,-1.2800000000000018,2.2
4270,L51449,L,302.6,311.0,1610,39.2,152,0,0,0,0,0,0,302.64,0.054772255956066954,-0.0999999999999659,311.02,0.044721359619347624,0.0,1537.6,114.50240172153238,-84.0,37.86,4.844378185071981,9.400000000000002,148.0,3.1622776601677343,2.0,0.0,0.0,13.6,-0.10000000000000142,2.2
4271,L51450,L,302.6,310.9,1331,52.0,154,1,0,1,0,0,0,302.64,0.054772255956066954,0.0,311.0,0.0707106781621656,-0.10000000000002274,1519.0,141.85556034219874,-279.0,40.660000000000004,7.977969666525548,12.799999999999997,150.0,3.1622776601677343,2.0,0.0,-0.02000000000000455,-18.6,2.7999999999999985,2.0
4272,L51451,L,302.6,310.8,1470,41.2,156,0,0,0,0,0,0,302.62,0.044721359800170855,0.0,310.94,0.08944271913351735,-0.0999999999999659,1525.0,138.26785598973893,139.0,41.0,7.952358140828531,-10.799999999999997,152.0,3.1622776601677343,2.0,-0.01999999999999318,-0.060000000000002274,6.0,0.33999999999999914,2.0
4273,L51452,L,302.5,310.8,1577,36.9,158,0,0,0,0,0,0,302.6,0.07071067827588515,-0.10000000000002274,310.9,0.1000000000294644,0.0,1536.4,140.09032800303947,107.0,39.82,8.055557088122562,-4.300000000000004,154.0,3.1622776601677343,2.0,-0.02000000000000455,-0.039999999999997725,11.4,-1.180000000000001,2.0
4274,L51453,L,302.6,310.8,1486,36.4,160,0,0,0,0,0,0,302.58000000000004,0.04472135979702895,0.10000000000002274,310.86,0.0894427191323448,0.0,1494.8,109.03072961325715,-91.0,41.14,6.366945892655432,-0.5,156.0,3.1622776601677343,2.0,-0.01999999999999318,-0.039999999999997725,-41.6,1.319999999999998,2.0
4275,L51454,L,302.4,310.6,1445,40.3,162,0,0,0,0,0,0,302.54,0.08944271922196478,-0.20000000000004547,310.78000000000003,0.10954451152647482,-0.19999999999998863,1461.8,88.47994122963232,-41.0,41.36,6.301825132451861,3.8999999999999986,158.0,3.1622776601677343,2.0,-0.0400000000000091,-0.07999999999999545,-33.0,0.21999999999999745,2.0
4276,M19135,M,302.4,310.5,1500,36.7,164,0,0,0,0,0,0,302.5,0.1000000001077265,0.0,310.7,0.14142135625628424,-0.10000000000002274,1495.6,49.882862788729255,55.0,38.3,2.2660538387252434,-3.5999999999999943,160.0,3.1622776601677343,2.0,-0.0400000000000091,-0.07999999999999545,33.8,-3.060000000000001,2.0
4277,M19136,M,302.2,310.4,1456,47.5,167,0,0,0,0,0,0,302.41999999999996,0.14832396981271315,-0.19999999999998863,310.62,0.1788854382144142,-0.10000000000002274,1492.8,52.025955060903875,-44.0,39.56,4.712536472007577,10.799999999999997,162.2,3.492849839314015,3.0,-0.08000000000000682,-0.08000000000000682,-2.8,1.259999999999998,2.2
4278,L51457,L,302.2,310.4,1743,28.1,170,0,0,0,0,0,0,302.36,0.16733200536836199,0.0,310.54,0.16733200532164047,0.0,1526.0,123.31463822271543,287.0,37.8,7.028513356322325,-19.4,164.6,3.97492138286985,3.0,-0.060000000000002274,-0.08000000000000682,33.2,-1.760000000000001,2.4
4279,L51458,L,302.0,310.1,1409,50.4,172,0,0,0,0,0,0,302.23999999999995,0.1673320053659161,-0.19999999999998863,310.4,0.18708286935101762,-0.2999999999999545,1510.6,133.91153796443078,-334.0,40.6,8.876936408468957,22.299999999999997,167.0,4.123105625617172,2.0,-0.12000000000000455,-0.13999999999999774,-15.4,2.7999999999999985,2.4
4280,L51459,L,302.0,310.1,1361,45.4,174,1,0,1,0,0,0,302.15999999999997,0.1673320053643076,0.0,310.3,0.18708286935035107,0.0,1493.8,148.65631503571984,-48.0,41.62,9.123431372022365,-5.0,169.4,3.97492138286985,2.0,-0.07999999999999545,-0.1,-16.8,1.019999999999999,2.4
4281,L51460,L,302.1,310.1,1753,28.9,176,0,0,0,0,0,0,302.1,0.10000000009418852,0.10000000000002274,310.22,0.16431676726423447,0.0,1544.4,188.90420852908272,392.0,40.06,10.704812002085868,-16.5,171.8,3.492849839314015,2.0,-0.05999999999999091,-0.07999999999999545,50.6,-1.5600000000000023,2.4
4282,L51461,L,302.0,310.0,1832,22.9,178,0,0,0,0,0,0,302.06000000000006,0.08944271920379619,-0.10000000000002274,310.14,0.1516575088941629,-0.10000000000002274,1619.6,217.57941079063335,79.0,35.14,12.004707410012163,-6.0,174.0,3.1622776601677343,2.0,-0.039999999999997725,-0.07999999999999545,75.2,-4.920000000000002,2.2
4283,L51462,L,301.9,309.9,1374,48.5,180,1,0,1,0,0,0,302.0,0.07071067824714916,-0.10000000000002274,310.04,0.08944271912099391,-0.10000000000002274,1545.8,227.6086553714493,-458.0,39.22,12.47144738993841,25.6,176.0,3.1622776601677343,2.0,-0.060000000000002274,-0.1,-73.8,4.079999999999998,2.0
4284,M19143,M,301.8,309.9,1334,61.0,182,1,0,1,0,0,0,301.96000000000004,0.11401754258841959,-0.0999999999999659,310.0,0.1000000000183249,0.0,1530.8,240.9578801367558,-40.0,41.339999999999996,15.403343792826346,12.5,178.0,3.1622776601677343,2.0,-0.039999999999997725,-0.0400000000000091,-15.0,2.1199999999999988,2.0
4285,L51464,L,301.8,310.0,1493,40.3,185,0,0,0,0,0,0,301.92,0.13038404817166604,0.0,309.98,0.08366600267503263,0.10000000000002274,1557.2,224.36287571699373,159.0,40.32,15.235222348229833,-20.700000000000003,180.2,3.492849839314015,3.0,-0.039999999999997725,-0.02000000000000455,26.4,-1.0200000000000018,2.2
4286,L51465,L,301.7,309.9,1317,49.0,187,1,0,1,0,0,0,301.84,0.11401754258483221,-0.10000000000002274,309.93999999999994,0.05477225578273893,-0.10000000000002274,1470.0,213.7135933907789,-176.0,44.339999999999996,14.076327646087327,8.700000000000003,182.4,3.646916505761538,2.0,-0.08000000000000682,-0.0400000000000091,-87.2,4.019999999999999,2.2
4287,M19146,M,301.7,309.9,1434,47.9,189,0,0,0,0,0,0,301.78,0.08366600275303347,0.0,309.91999999999996,0.04472135958898612,0.0,1390.4,72.91296181063541,117.0,49.339999999999996,7.42583328657486,-1.1000000000000014,184.6,3.646916505761538,2.0,-0.060000000000002274,-0.02000000000000455,-79.6,4.999999999999998,2.2
4288,M19147,M,301.7,309.9,1457,39.2,192,0,0,0,0,0,0,301.74,0.05477225590021499,0.0,309.91999999999996,0.04472135958898612,0.0,1407.0,77.54676008705442,23.0,47.480000000000004,8.737677036833237,-8.699999999999996,187.0,3.8078865529314228,3.0,-0.039999999999997725,0.0,16.6,-1.8600000000000008,2.4
4289,M19148,M,301.7,310.0,1391,50.6,195,0,0,0,0,0,0,301.72,0.044721359731818885,0.0,309.93999999999994,0.05477225578273893,0.10000000000002274,1418.4,67.69638099632193,-66.0,45.4,5.260703375025292,11.399999999999999,189.6,3.97492138286985,3.0,-0.02000000000000455,0.02000000000000455,11.4,-2.080000000000001,2.6
4290,M19149,M,301.8,310.0,1781,23.9,198,0,0,0,0,0,0,301.71999999999997,0.044721359731818885,0.10000000000002274,309.93999999999994,0.05477225578273893,0.0,1476.0,178.6448991715106,390.0,42.12,11.10346792673361,-26.700000000000003,192.2,4.438468204233978,3.0,0.0,0.0,57.6,-3.280000000000001,2.6
4291,L51470,L,301.8,310.0,1642,32.6,201,0,0,0,0,0,0,301.74,0.05477225590021499,0.0,309.96,0.054772255783130705,0.0,1541.0,164.9287725049792,-139.0,38.839999999999996,10.98467113754442,8.700000000000003,195.0,4.743416490252148,3.0,0.02000000000000455,0.02000000000000455,65.0,-3.280000000000001,2.8
4292,L51471,L,301.8,310.0,2032,19.0,203,0,0,0,0,0,0,301.76000000000005,0.05477225590146037,0.0,309.97999999999996,0.0447213595904256,0.0,1660.6,258.3201502012555,390.0,33.06,12.521501507407192,-13.600000000000001,197.8,4.438468204233978,2.0,0.02000000000000455,0.02000000000000455,119.6,-5.780000000000001,2.8
4293,M19152,M,301.8,310.1,2372,13.9,205,1,0,0,1,0,0,301.78000000000003,0.04472135973639469,0.0,310.02000000000004,0.044721359591442446,0.10000000000002274,1843.6,375.53601691448875,340.0,28.0,14.392185379573172,-5.1,200.4,3.97492138286985,2.0,0.02000000000000455,0.0400000000000091,183.0,-5.060000000000002,2.6
4294,L51473,L,301.8,310.0,1393,44.9,208,0,0,0,0,0,0,301.8,0.0,0.0,310.02000000000004,0.044721359591442446,-0.10000000000002274,1844.0,374.93399419097653,-979.0,26.860000000000003,12.215686636452311,31.0,203.0,3.8078865529314228,3.0,0.02000000000000455,0.0,0.4,-1.140000000000002,2.6
4295,M19154,M,301.7,310.1,1743,27.3,210,0,0,0,0,0,0,301.78000000000003,0.04472135973639469,-0.10000000000002274,310.04,0.05477225578479121,0.10000000000002274,1836.4,376.9102015069361,350.0,27.54,12.103842365133465,-17.599999999999998,205.4,3.646916505761538,2.0,-0.02000000000000455,0.02000000000000455,-7.6,0.679999999999999,2.4
4296,L51475,L,301.8,310.2,1457,40.4,213,0,0,0,0,0,0,301.78000000000003,0.04472135973639469,0.10000000000002274,310.08000000000004,0.08366600267640165,0.0999999999999659,1799.4,408.5196445704897,-286.0,29.1,13.35683345707357,13.099999999999998,207.8,3.9623225512312747,3.0,0.0,0.039999999999997725,-37.0,1.559999999999998,2.4
4297,L51476,L,301.8,310.2,2825,5.8,215,1,0,0,1,0,0,301.78,0.04472135973639469,0.0,310.12,0.08366600267696045,0.0,1958.0,620.3901997936454,1368.0,26.46,16.730600706489874,-34.6,210.2,3.9623225512312747,2.0,0.0,0.039999999999997725,158.6,-2.640000000000002,2.4
4298,M19157,M,301.8,310.2,1609,34.2,217,0,0,0,0,0,0,301.78000000000003,0.04472135973639469,0.0,310.14,0.08944271912229237,0.0,1805.4,585.9836175184415,-1216.0,30.52,15.324718594479968,28.400000000000002,212.6,3.646916505761538,2.0,0.0,0.01999999999999318,-152.6,4.059999999999998,2.4
4299,M19158,M,301.8,310.2,1437,42.3,0,0,0,0,0,0,0,301.78000000000003,0.04472135973639469,0.0,310.17999999999995,0.04472135959570049,0.0,1814.2,578.5250210665042,-172.0,30.0,14.748050718654312,8.099999999999994,171.0,95.62687906650513,-217.0,0.0,0.039999999999997725,8.8,-0.5200000000000025,-41.6
4300,L51479,L,301.7,310.1,1402,50.1,3,0,0,0,0,0,0,301.78000000000003,0.04472135973639469,-0.10000000000002274,310.18,0.04472135959570049,-0.0999999999999659,1746.0,608.3477623859557,-35.0,34.559999999999995,17.049721405348556,7.800000000000004,129.6,116.95212695799934,3.0,0.0,0.0,-68.2,4.559999999999998,-41.4
4301,M19160,M,301.7,310.1,1644,34.6,5,0,0,0,0,0,0,301.76,0.05477225590146037,0.0,310.15999999999997,0.05477225578735331,0.0,1783.4,591.6580938346058,242.0,33.4,16.74768640738178,-15.5,88.0,116.86316785026835,2.0,-0.02000000000000455,-0.01999999999999318,37.4,-1.1600000000000015,-41.6
4302,L51481,L,301.7,310.2,1471,51.1,8,0,0,0,0,0,0,301.74,0.05477225590021499,0.0,310.15999999999997,0.05477225578735331,0.0999999999999659,1512.6,107.51418511061313,-173.0,42.46,8.109438944834707,16.5,46.6,95.30110177747157,3.0,-0.02000000000000455,0.0,-270.8,9.059999999999999,-41.4
4303,L51482,L,301.7,310.1,2695,12.6,10,0,0,0,0,0,0,301.72,0.044721359731818885,0.0,310.14,0.05477225578686943,-0.0999999999999659,1729.8,547.5250679192682,1224.0,38.14,15.756998445135457,-38.5,5.2,3.962322551231101,2.0,-0.02000000000000455,-0.01999999999999318,217.2,-4.320000000000001,-41.4
4304,L51483,L,301.7,310.2,1435,48.1,12,0,0,0,0,0,0,301.7,0.0,0.0,310.14,0.05477225578686943,0.0999999999999659,1729.4,547.793117883019,-1260.0,39.3,16.34242943995786,35.5,7.6,3.6469165057613453,2.0,-0.02000000000000455,0.0,-0.4,1.1600000000000001,2.4
4305,L51484,L,301.6,310.1,1694,26.3,14,0,0,0,0,0,0,301.68,0.04472135972879695,-0.0999999999999659,310.14,0.05477225578686943,-0.0999999999999659,1787.8,518.9698449813816,259.0,34.540000000000006,15.869562060750157,-21.8,9.8,3.492849839313815,2.0,-0.01999999999999318,0.0,58.4,-4.760000000000001,2.2
4306,L51485,L,301.6,310.1,1687,26.6,16,0,0,0,0,0,0,301.66,0.054772255895286025,0.0,310.14,0.05477225578686943,0.0,1796.4,516.3407789435182,-7.0,32.940000000000005,16.260473547839883,0.3000000000000007,12.0,3.162277660167516,2.0,-0.01999999999999318,0.0,8.6,-1.6000000000000008,2.2
4307,L51486,L,301.6,310.0,1869,22.9,18,0,0,0,0,0,0,301.64,0.05477225589407567,0.0,310.1,0.07071067814607536,-0.10000000000002274,1876.0,483.2535566346089,182.0,27.3,12.938121965725932,-3.700000000000003,14.0,3.162277660167516,2.0,-0.01999999999999318,-0.039999999999997725,79.6,-5.6400000000000015,2.0
4308,L51487,L,301.4,309.9,1259,63.9,20,1,0,1,0,0,0,301.58000000000004,0.10954451157102174,-0.20000000000004547,310.06000000000006,0.11401754252645668,-0.10000000000002274,1588.8,240.647459990749,-610.0,37.56,17.795448856379014,41.0,16.0,3.162277660167516,2.0,-0.060000000000002274,-0.0400000000000091,-287.2,10.26,2.0
4309,H33722,H,301.4,309.9,1460,47.2,22,0,0,0,0,0,0,301.52000000000004,0.1095445115692315,0.0,310.0,0.1000000000180691,0.0,1593.8,236.88330460376298,201.0,37.38,17.666267291083344,-16.699999999999996,18.0,3.162277660167516,2.0,-0.060000000000002274,-0.060000000000002274,5.0,-0.17999999999999972,2.0
4310,M19169,M,301.3,309.9,1501,39.5,27,0,0,0,0,0,0,301.46,0.13416407870418984,-0.0999999999999659,309.96,0.0894427191195866,0.0,1555.2,232.151243804549,41.0,40.019999999999996,16.547416716817207,-7.700000000000003,20.6,4.2190046219451505,5.0,-0.060000000000002274,-0.0400000000000091,-38.6,2.6399999999999997,2.6
4311,L51490,L,301.4,310.0,1776,25.6,30,0,0,0,0,0,0,301.41999999999996,0.10954451156620856,0.0999999999999659,309.94,0.054772255781996876,0.10000000000002274,1573.0,247.67619990624686,275.0,39.82,16.754909728196136,-13.899999999999999,23.4,4.979959839194945,3.0,-0.0400000000000091,-0.02000000000000455,17.8,-0.2,2.8
4312,M19171,M,301.5,310.1,1468,40.8,32,0,0,0,0,0,0,301.4,0.07071067821866793,0.10000000000002274,309.96,0.0894427191195866,0.10000000000002274,1492.8,184.81260779502884,-308.0,43.4,13.905933985173451,15.199999999999996,26.2,5.118593556827358,2.0,-0.02000000000000455,0.02000000000000455,-80.2,3.5799999999999996,2.8
4313,L51492,L,301.5,310.1,1430,46.5,35,0,0,0,0,0,0,301.41999999999996,0.08366600273872767,0.0,310.0,0.1000000000180691,0.0,1527.0,141.4708450529619,-38.0,39.92,8.693503321446508,5.700000000000003,29.2,4.969909455915122,3.0,0.02000000000000455,0.0400000000000091,34.2,-3.4799999999999995,3.0
4314,L51493,L,301.4,310.1,1502,46.6,37,0,0,0,0,0,0,301.41999999999996,0.08366600273872767,-0.10000000000002274,310.04,0.08944271912078774,0.0,1535.4,137.69458958143255,72.0,39.8,8.571172615226077,0.10000000000000142,32.2,3.962322551231101,2.0,0.0,0.0400000000000091,8.4,-0.12000000000000029,3.0
4315,H33728,H,301.4,310.1,1623,32.3,39,0,0,0,0,0,0,301.44,0.05477225588206491,0.0,310.08000000000004,0.044721359592751614,0.0,1559.8,140.8481451777025,121.0,38.36,9.214825011903441,-14.300000000000004,34.6,3.646916505761345,2.0,0.01999999999999318,0.0400000000000091,24.4,-1.4400000000000006,2.4
4316,M19175,M,301.4,310.0,1651,29.8,44,0,0,0,0,0,0,301.43999999999994,0.05477225588206491,0.0,310.08000000000004,0.044721359592751614,-0.10000000000002274,1534.8,97.21471082094087,28.0,39.2,7.8514329902255025,-2.4999999999999964,37.4,4.505552130426918,5.0,0.0,0.0,-25.0,0.8399999999999999,2.8
4317,L51496,L,301.5,310.1,1639,33.4,47,0,0,0,0,0,0,301.43999999999994,0.05477225588206491,0.10000000000002274,310.08000000000004,0.044721359592751614,0.10000000000002274,1569.0,97.91578013782639,-12.0,37.72,8.16559856960904,3.599999999999998,40.4,4.979959839194945,3.0,0.0,0.0,34.2,-1.4799999999999998,3.0
